1984/1984-11|Protein-tyrosine phosphatase LC-PTP|CHEMBL2219|1.00
2012/2012-1033|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2012/2012-1033|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2012/2012-1033|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2012/2012-1033|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2012/2012-1034|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2012/2012-1034|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2012/2012-1034|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2012/2012-1034|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2012/2012-1035|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2012/2012-1035|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2012/2012-1035|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2012/2012-1035|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2012/2012-1036|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2012/2012-1036|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2012/2012-1036|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2012/2012-1036|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2012/2012-1110|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2012/2012-1110|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2012/2012-1111|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2012/2012-1145|Bile acid receptor FXR|CHEMBL2047|1.00
2012/2012-1146|Bile acid receptor FXR|CHEMBL2047|1.00
2012/2012-1147|Bile acid receptor FXR|CHEMBL2047|1.00
2012/2012-198|Mitogen-activated protein kinase kinase kinase 7|CHEMBL5776|1.00
2012/2012-206|Leukocyte elastase|CHEMBL248|1.00
2012/2012-208|Leukocyte elastase|CHEMBL248|1.00
2012/2012-212|Carbonyl reductase [NADPH] 1|CHEMBL5586|1.00
2012/2012-252|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
2012/2012-253|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
2012/2012-254|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
2012/2012-255|Glycogen synthase kinase-3 beta|CHEMBL262|1.00
2012/2012-359|Mitogen-activated protein kinase kinase kinase 7|CHEMBL5776|1.00
2012/2012-374|Cannabinoid CB1 receptor|CHEMBL218|1.00
2012/2012-53|Epidermal growth factor receptor erbB1|CHEMBL203|1.00
2012/2012-54|Epidermal growth factor receptor erbB1|CHEMBL203|1.00
2012/2012-55|Epidermal growth factor receptor erbB1|CHEMBL203|1.00
2012/2012-56|Epidermal growth factor receptor erbB1|CHEMBL203|1.00
2012/2012-57|MAP kinase ERK2|CHEMBL4040|1.00
2012/2012-57|Cytochrome P450 3A4|CHEMBL340|1.00
2012/2012-57|Solute carrier organic anion transporter family member 1B3|CHEMBL1743121|1.00
2012/2012-57|Solute carrier organic anion transporter family member 1B1|CHEMBL1697668|1.00
2012/2012-57|Apoptosis regulator Bcl-2|CHEMBL4860|1.00
2012/2012-58|MAP kinase ERK2|CHEMBL4040|1.00
2012/2012-58|Cytochrome P450 3A4|CHEMBL340|1.00
2012/2012-58|Solute carrier organic anion transporter family member 1B3|CHEMBL1743121|1.00
2012/2012-58|Solute carrier organic anion transporter family member 1B1|CHEMBL1697668|1.00
2012/2012-58|Apoptosis regulator Bcl-2|CHEMBL4860|1.00
2012/2012-696|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2012/2012-733|Sodium/potassium-transporting ATPase|CHEMBL2095186|1.00
2012/2012-734|Sodium/potassium-transporting ATPase|CHEMBL2095186|1.00
2012/2012-736|Sodium/potassium-transporting ATPase|CHEMBL2095186|1.00
2012/2012-738|Bile acid receptor FXR|CHEMBL2047|1.00
2012/2012-743|P-glycoprotein 1|CHEMBL4302|1.00
2012/2012-96|Serotonin 2b (5-HT2b) receptor|CHEMBL1833|1.00
2012/2012-97|Serotonin 2b (5-HT2b) receptor|CHEMBL1833|1.00
2012/2012-98|Serotonin 2b (5-HT2b) receptor|CHEMBL1833|1.00
2013/2013-1082|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2013/2013-1093|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2013/2013-1100|LXR-alpha|CHEMBL2808|1.00
2013/2013-1100|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2013/2013-1100|HMG-CoA reductase|CHEMBL402|1.00
2013/2013-1100|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2013/2013-1100|Sterol regulatory element-binding protein 2|CHEMBL1795166|1.00
2013/2013-23|G-protein coupled bile acid receptor 1|CHEMBL5409|1.00
2013/2013-23|Ileal bile acid transporter|CHEMBL2778|1.00
2013/2013-269|DNA polymerase kappa|CHEMBL5365|1.00
2013/2013-298|Paired box protein Pax-8|CHEMBL2362980|1.00
2013/2013-362|Nuclear receptor subfamily 4 group A member 1|CHEMBL1293229|1.00
2013/2013-601|Peroxisome proliferator-activated receptor gamma|CHEMBL235|1.00
2013/2013-614|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2013/2013-615|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2013/2013-616|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2013/2013-657|Histone-lysine N-methyltransferase NSD2|CHEMBL3108645|1.00
2013/2013-808|Indoleamine 2,3-dioxygenase|CHEMBL4685|1.00
2013/2013-864|Interleukin-8 receptor A|CHEMBL4029|1.00
2013/2013-865|Interleukin-8 receptor A|CHEMBL4029|1.00
2013/2013-91|Acetylcholinesterase|CHEMBL220|1.00
2014/2014-1000|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2014/2014-1000|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2014/2014-1000|Focal adhesion kinase 1|CHEMBL2695|1.00
2014/2014-1000|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2014/2014-1000|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2014/2014-1001|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2014/2014-1001|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2014/2014-1001|Focal adhesion kinase 1|CHEMBL2695|1.00
2014/2014-1001|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2014/2014-1001|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2014/2014-1029|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2014/2014-1035|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2014/2014-1036|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2014/2014-1043|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2014/2014-1046|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2014/2014-121|N-lysine methyltransferase SETD8|CHEMBL1795176|1.00
2014/2014-454|Acetylcholinesterase|CHEMBL220|1.00
2014/2014-479|Histone deacetylase 2|CHEMBL1937|1.00
2014/2014-479|Histone deacetylase 6|CHEMBL1865|1.00
2014/2014-580|Peroxisome proliferator-activated receptor delta|CHEMBL3979|1.00
2014/2014-581|Peroxisome proliferator-activated receptor delta|CHEMBL3979|1.00
2014/2014-772|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2014/2014-773|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2014/2014-784|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2014/2014-784|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2014/2014-784|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2014/2014-913|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2014/2014-999|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2014/2014-999|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2014/2014-999|Focal adhesion kinase 1|CHEMBL2695|1.00
2014/2014-999|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2014/2014-999|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2015/2015-1014|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2015/2015-1014|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2015/2015-1014|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2015/2015-1014|P-glycoprotein 1|CHEMBL4302|1.00
2015/2015-111|COUP transcription factor 2|CHEMBL1961790|1.00
2015/2015-1224|Phosphodiesterase 4D|CHEMBL288|1.00
2015/2015-1225|Phosphodiesterase 4D|CHEMBL288|1.00
2015/2015-1226|Phosphodiesterase 4D|CHEMBL288|1.00
2015/2015-1227|Phosphodiesterase 4D|CHEMBL288|1.00
2015/2015-1229|Phosphodiesterase 4D|CHEMBL288|1.00
2015/2015-1232|Phosphodiesterase 4D|CHEMBL288|1.00
2015/2015-1233|Phosphodiesterase 4D|CHEMBL288|1.00
2015/2015-1234|Phosphodiesterase 4D|CHEMBL288|1.00
2015/2015-1235|Phosphodiesterase 4D|CHEMBL288|1.00
2015/2015-1236|Phosphodiesterase 4D|CHEMBL288|1.00
2015/2015-1237|Cytochrome P450 17A1|CHEMBL3522|1.00
2015/2015-1253|Nuclear factor NF-kappa-B complex|CHEMBL2094258|1.00
2015/2015-1256|Nuclear receptor ROR-alpha|CHEMBL5868|1.00
2015/2015-1256|Niemann-Pick C1-like protein 1|CHEMBL2027|1.00
2015/2015-1266|LXR-alpha|CHEMBL2808|1.00
2015/2015-1266|P-glycoprotein 1|CHEMBL4302|1.00
2015/2015-1266|LXR-beta|CHEMBL4093|1.00
2015/2015-1267|LXR-alpha|CHEMBL2808|1.00
2015/2015-1267|P-glycoprotein 1|CHEMBL4302|1.00
2015/2015-1267|LXR-beta|CHEMBL4093|1.00
2015/2015-1379|Protein kinase C alpha|CHEMBL299|1.00
2015/2015-1380|Protein kinase C alpha|CHEMBL299|1.00
2015/2015-217|Mitogen-activated protein kinase kinase kinase 7|CHEMBL5776|1.00
2015/2015-218|Mitogen-activated protein kinase kinase kinase 7|CHEMBL5776|1.00
2015/2015-263|C-C chemokine receptor type 3|CHEMBL3473|1.00
2015/2015-275|Cyclin-dependent kinase 1|CHEMBL308|1.00
2015/2015-275|Cyclin-dependent kinase 2|CHEMBL301|1.00
2015/2015-275|Cyclin-dependent kinase 2/cyclin E|CHEMBL2094126|1.00
2015/2015-275|Cyclin-dependent kinase 1/cyclin B1|CHEMBL1907602|1.00
2015/2015-276|Acetylcholinesterase|CHEMBL220|1.00
2015/2015-277|Acetylcholinesterase|CHEMBL220|1.00
2015/2015-278|Acetylcholinesterase|CHEMBL220|1.00
2015/2015-339|Mitogen-activated protein kinase kinase kinase 7|CHEMBL5776|1.00
2015/2015-339|Nuclear factor NF-kappa-B p65 subunit|CHEMBL5533|1.00
2015/2015-339|MAP kinase ERK2|CHEMBL4040|1.00
2015/2015-339|Dual specificity mitogen-activated protein kinase kinase 1|CHEMBL3587|1.00
2015/2015-339|Dual specificity mitogen-activated protein kinase kinase 7|CHEMBL3530|1.00
2015/2015-339|MAP kinase ERK1|CHEMBL3385|1.00
2015/2015-339|TAK1/TAB1|CHEMBL3038499|1.00
2015/2015-339|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
2015/2015-339|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2015/2015-339|Platelet-derived growth factor receptor alpha|CHEMBL2007|1.00
2015/2015-339|Tyrosine-protein kinase receptor FLT3|CHEMBL1974|1.00
2015/2015-339|Vascular endothelial growth factor receptor 3|CHEMBL1955|1.00
2015/2015-339|Stem cell growth factor receptor|CHEMBL1936|1.00
2015/2015-339|Platelet-derived growth factor receptor beta|CHEMBL1913|1.00
2015/2015-339|Mitogen-activated protein kinase; ERK1/ERK2|CHEMBL1907606|1.00
2015/2015-339|Vascular endothelial growth factor receptor 1|CHEMBL1868|1.00
2015/2015-339|Tyrosine-protein kinase LCK|CHEMBL258|1.00
2015/2015-340|Mitogen-activated protein kinase kinase kinase 7|CHEMBL5776|1.00
2015/2015-340|Nuclear factor NF-kappa-B p65 subunit|CHEMBL5533|1.00
2015/2015-340|MAP kinase ERK2|CHEMBL4040|1.00
2015/2015-340|Dual specificity mitogen-activated protein kinase kinase 1|CHEMBL3587|1.00
2015/2015-340|Dual specificity mitogen-activated protein kinase kinase 7|CHEMBL3530|1.00
2015/2015-340|MAP kinase ERK1|CHEMBL3385|1.00
2015/2015-340|TAK1/TAB1|CHEMBL3038499|1.00
2015/2015-340|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
2015/2015-340|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2015/2015-340|Platelet-derived growth factor receptor alpha|CHEMBL2007|1.00
2015/2015-340|Tyrosine-protein kinase receptor FLT3|CHEMBL1974|1.00
2015/2015-340|Vascular endothelial growth factor receptor 3|CHEMBL1955|1.00
2015/2015-340|Stem cell growth factor receptor|CHEMBL1936|1.00
2015/2015-340|Platelet-derived growth factor receptor beta|CHEMBL1913|1.00
2015/2015-340|Mitogen-activated protein kinase; ERK1/ERK2|CHEMBL1907606|1.00
2015/2015-340|Vascular endothelial growth factor receptor 1|CHEMBL1868|1.00
2015/2015-340|Tyrosine-protein kinase LCK|CHEMBL258|1.00
2015/2015-341|Mitogen-activated protein kinase kinase kinase 7|CHEMBL5776|1.00
2015/2015-341|Nuclear factor NF-kappa-B p65 subunit|CHEMBL5533|1.00
2015/2015-341|MAP kinase ERK2|CHEMBL4040|1.00
2015/2015-341|Dual specificity mitogen-activated protein kinase kinase 1|CHEMBL3587|1.00
2015/2015-341|Dual specificity mitogen-activated protein kinase kinase 7|CHEMBL3530|1.00
2015/2015-341|MAP kinase ERK1|CHEMBL3385|1.00
2015/2015-341|TAK1/TAB1|CHEMBL3038499|1.00
2015/2015-341|Glycogen synthase kinase-3 alpha|CHEMBL2850|1.00
2015/2015-341|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2015/2015-341|Platelet-derived growth factor receptor alpha|CHEMBL2007|1.00
2015/2015-341|Tyrosine-protein kinase receptor FLT3|CHEMBL1974|1.00
2015/2015-341|Vascular endothelial growth factor receptor 3|CHEMBL1955|1.00
2015/2015-341|Stem cell growth factor receptor|CHEMBL1936|1.00
2015/2015-341|Platelet-derived growth factor receptor beta|CHEMBL1913|1.00
2015/2015-341|Mitogen-activated protein kinase; ERK1/ERK2|CHEMBL1907606|1.00
2015/2015-341|Vascular endothelial growth factor receptor 1|CHEMBL1868|1.00
2015/2015-341|Tyrosine-protein kinase LCK|CHEMBL258|1.00
2015/2015-351|Calmodulin|CHEMBL6093|1.00
2015/2015-352|Calmodulin|CHEMBL6093|1.00
2015/2015-354|Calmodulin|CHEMBL6093|1.00
2015/2015-414|Acetylcholinesterase|CHEMBL220|1.00
2015/2015-494|Beta-galactoside alpha-2,6-sialyltransferase 1|CHEMBL3596075|1.00
2015/2015-538|Nuclear receptor subfamily 4 group A member 1|CHEMBL1293229|1.00
2015/2015-572|Thioredoxin reductase|CHEMBL2096978|1.00
2015/2015-640|Cannabinoid CB1 receptor|CHEMBL218|1.00
2015/2015-641|Protein kinase C theta|CHEMBL3920|1.00
2015/2015-641|Protein kinase C eta|CHEMBL3616|1.00
2015/2015-641|Protein kinase C epsilon|CHEMBL3582|1.00
2015/2015-641|Protein kinase C beta|CHEMBL3045|1.00
2015/2015-641|Protein kinase C delta|CHEMBL2996|1.00
2015/2015-641|Protein kinase C alpha|CHEMBL299|1.00
2015/2015-641|Protein kinase C gamma|CHEMBL2938|1.00
2015/2015-642|Protein kinase C theta|CHEMBL3920|1.00
2015/2015-642|Protein kinase C eta|CHEMBL3616|1.00
2015/2015-642|Protein kinase C epsilon|CHEMBL3582|1.00
2015/2015-642|Protein kinase C beta|CHEMBL3045|1.00
2015/2015-642|Protein kinase C delta|CHEMBL2996|1.00
2015/2015-642|Protein kinase C alpha|CHEMBL299|1.00
2015/2015-642|Protein kinase C gamma|CHEMBL2938|1.00
2015/2015-928|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2015/2015-928|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2015/2015-928|Focal adhesion kinase 1|CHEMBL2695|1.00
2015/2015-928|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2015/2015-988|Sodium/potassium-transporting ATPase|CHEMBL2095186|1.00
2016/2016-1006|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2016/2016-1007|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2016/2016-1007|Hypoxia inducible factors; HIF-1-alpha, HIF-2-alpha|CHEMBL2221345|1.00
2016/2016-1050|Bile acid receptor FXR|CHEMBL2047|1.00
2016/2016-1072|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2016/2016-1073|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2016/2016-1250|LXR-alpha|CHEMBL2808|1.00
2016/2016-1371|Tyrosinase|CHEMBL1973|1.00
2016/2016-1375|TNF-alpha|CHEMBL1825|1.00
2016/2016-170|Potassium voltage-gated channel subfamily B member 1|CHEMBL2363000|1.00
2016/2016-171|Potassium voltage-gated channel subfamily B member 1|CHEMBL2363000|1.00
2016/2016-227|Cyclin-dependent kinase 1|CHEMBL308|1.00
2016/2016-227|Cyclin-dependent kinase 2|CHEMBL301|1.00
2016/2016-227|Cyclin-dependent kinase 2/cyclin E|CHEMBL2094126|1.00
2016/2016-227|Cyclin-dependent kinase 1/cyclin B1|CHEMBL1907602|1.00
2016/2016-22|Cannabinoid CB1 receptor|CHEMBL218|1.00
2016/2016-400|DNA polymerase kappa|CHEMBL5365|1.00
2016/2016-414|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2016/2016-417|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2016/2016-483|Prostaglandin E synthase|CHEMBL5658|1.00
2016/2016-646|Lysosomal alpha-glucosidase|CHEMBL2608|1.00
2016/2016-684|Cannabinoid CB2 receptor|CHEMBL253|1.00
2016/2016-684|Cannabinoid CB1 receptor|CHEMBL218|1.00
2016/2016-685|Cannabinoid CB2 receptor|CHEMBL253|1.00
2016/2016-685|Cannabinoid CB1 receptor|CHEMBL218|1.00
2016/2016-686|Cannabinoid CB2 receptor|CHEMBL253|1.00
2016/2016-686|Cannabinoid CB1 receptor|CHEMBL218|1.00
2016/2016-733|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2016/2016-735|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2016/2016-735|LXR-alpha|CHEMBL2808|1.00
2016/2016-744|LXR-alpha|CHEMBL2808|1.00
2016/2016-744|P-glycoprotein 1|CHEMBL4302|1.00
2016/2016-744|Nuclear receptor ROR-gamma|CHEMBL1741186|1.00
2016/2016-744|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2016/2016-745|LXR-alpha|CHEMBL2808|1.00
2016/2016-745|P-glycoprotein 1|CHEMBL4302|1.00
2016/2016-84|Matrix metalloproteinase-2|CHEMBL333|1.00
2017/2017-1044|Macrophage scavenger receptor types I and II|CHEMBL5811|1.00
2017/2017-105|Vacuolar ATP synthase subunit S1|CHEMBL4790|1.00
2017/2017-1159|ALK tyrosine kinase receptor|CHEMBL4247|1.00
2017/2017-1159|Vascular endothelial growth factor receptor 2|CHEMBL279|1.00
2017/2017-1159|Focal adhesion kinase 1|CHEMBL2695|1.00
2017/2017-1159|Tyrosine-protein kinase SRC|CHEMBL267|1.00
2017/2017-1159|Insulin-like growth factor I receptor|CHEMBL1957|1.00
2017/2017-116|Endothelin-converting enzyme 1|CHEMBL4791|1.00
2017/2017-116|Peptide deformylase mitochondrial|CHEMBL4647|1.00
2017/2017-116|Matrix metalloproteinase 8|CHEMBL4588|1.00
2017/2017-116|ADAM17|CHEMBL3706|1.00
2017/2017-116|Cytochrome P450 3A4|CHEMBL340|1.00
2017/2017-116|Matrix metalloproteinase-2|CHEMBL333|1.00
2017/2017-116|Matrix metalloproteinase-1|CHEMBL332|1.00
2017/2017-116|Matrix metalloproteinase 9|CHEMBL321|1.00
2017/2017-116|Matrix metalloproteinase 3|CHEMBL283|1.00
2017/2017-116|Paired box protein Pax-8|CHEMBL2362980|1.00
2017/2017-116|Neprilysin|CHEMBL1944|1.00
2017/2017-1181|LXR-alpha|CHEMBL2808|1.00
2017/2017-1256|Tubulin|CHEMBL2095182|1.00
2017/2017-130|X-box-binding protein 1|CHEMBL1741176|1.00
2017/2017-21|N-lysine methyltransferase SETD8|CHEMBL1795176|1.00
2017/2017-22|N-lysine methyltransferase SETD8|CHEMBL1795176|1.00
2017/2017-23|N-lysine methyltransferase SETD8|CHEMBL1795176|1.00
2017/2017-24|N-lysine methyltransferase SETD8|CHEMBL1795176|1.00
2017/2017-25|N-lysine methyltransferase SETD8|CHEMBL1795176|1.00
2017/2017-26|N-lysine methyltransferase SETD8|CHEMBL1795176|1.00
2017/2017-276|Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1|CHEMBL1795098|1.00
2017/2017-27|N-lysine methyltransferase SETD8|CHEMBL1795176|1.00
2017/2017-323|Carbonyl reductase [NADPH] 1|CHEMBL5586|1.00
2017/2017-324|Carbonyl reductase [NADPH] 1|CHEMBL5586|1.00
2017/2017-325|Protein tyrosine kinase 2 beta|CHEMBL5469|1.00
2017/2017-325|Estrogen receptor beta|CHEMBL242|1.00
2017/2017-325|Heat shock protein HSP90|CHEMBL2095165|1.00
2017/2017-336|Acyl coenzyme A|CHEMBL2782|1.00
2017/2017-338|Acyl coenzyme A|CHEMBL2782|1.00
2017/2017-338|Acyl coenzyme A|CHEMBL4465|1.00
2017/2017-416|Prion protein|CHEMBL4869|1.00
2017/2017-416|Nuclear receptor subfamily 0 group B member 1|CHEMBL1795094|1.00
2017/2017-471|Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1|CHEMBL1795098|1.00
2017/2017-496|Induced myeloid leukemia cell differentiation protein Mcl-1|CHEMBL4361|1.00
2017/2017-496|SUMO-activating enzyme|CHEMBL2095174|1.00
2017/2017-499|Beta-galactoside alpha-2,6-sialyltransferase 1|CHEMBL3596075|1.00
2017/2017-607|Acetylcholinesterase|CHEMBL220|1.00
2017/2017-867|Histamine H1 receptor|CHEMBL231|1.00
2017/2017-921|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
2017/2017-922|Protein-tyrosine phosphatase 1B|CHEMBL335|1.00
